node1,node2,entanglement,fidelity,error
0,24,0.9834532132434015,0.0,0.0
1,24,0.9649100603097029,0.0,0.0
2,25,0.9796631164936561,0.0,0.0
3,26,0.6842833450326931,0.0,0.0
4,27,0.3011697575601493,0.0,0.0
5,28,0.10542245004358881,0.0,0.0
6,29,0.03356351991084039,0.0,0.0
7,29,0.010160235248273189,0.0,0.0
8,32,0.9833441213451458,0.0,0.0
9,32,0.9564153912542324,0.0,0.0
10,33,0.9436573683485651,0.0,0.0
11,33,0.6906101093982404,0.0,0.0
12,37,0.42231916080402643,0.0,0.0
13,35,0.15766082384390756,0.0,0.0
14,36,0.051834680787758984,0.0,0.0
15,36,0.015962110885230536,0.0,0.0
16,38,0.9500723004781004,0.0,0.0
17,39,0.9217070963093676,0.0,0.0
18,41,0.9942587614363685,0.0,0.0
19,42,0.740131147927512,0.0,0.0
20,43,0.3274361054963288,0.0,0.0
21,44,0.11549885223468179,0.0,0.0
22,45,0.03693643418058188,0.0,0.0
23,45,0.01121423507763197,0.0,0.0
24,30,1.8761400203872878,0.879869999985643,0.12013000001435792
25,30,1.5616648342584556,0.8798699999856416,0.12013000001435814
25,26,0.8551903750564678,0.8798699999856415,0.1201300000143567
26,27,0.3706989269192266,0.8798699999856433,0.12013000001435659
27,28,0.13101265192857683,0.879869999985644,0.12013000001435636
28,29,0.04052891352510019,0.8798699999856442,0.12013000001435559
30,34,3.134911456265394,0.8798699999856442,0.12013000001435625
31,34,3.0953369100882746,0.8197339168820862,0.18026608311791348
31,32,1.9054832493998806,0.8197339168820864,0.18026608311791392
31,33,1.4936540383963763,0.8197339168820857,0.18026608311791426
34,40,3.6019135814765115,0.9907347586368106,0.009265241363190624
44,45,0.04456754495480379,0.9907347586365973,0.00926524136340312
43,44,0.1432526481124043,0.9907347586365971,0.009265241363401344
42,43,0.40103467728046943,0.9907347586365989,0.009265241363402787
41,42,0.9165696596430185,0.9907347586365964,0.009265241363400456
40,41,1.6065238579955652,0.9907347586365978,0.009265241363403676
39,40,2.3237940554204166,0.9907347586365639,0.009265241363438093
38,39,1.4614606936665406,0.9907346920844236,0.009265307915576115
37,38,0.5216937819667105,0.9907346920844236,0.009265307915577115
35,36,0.06240562417645948,0.9907346920844224,0.009265307915576781
35,37,0.1949688963157299,0.9907346920844233,0.009265307915577226
